Id заявки|Id банкомата|SN банкомата|Тип|Модель|Адреса|Місто|Область|Розташування|Локалізація|Опис заявки|Звіт|Стан заявки|Час створення|Час доступа|Плановий час|Фактичний час|Час Принтек|
2517|4223|13-45179905|flm|SelfServ 6626|м. Івано-Франківськ, вул. Мазепи, 114|Івано-Франківськ|Івано-Франківська|ЗП-Центральна міська клінічна лікарня|Принтер чековий|Необхідна заміна паперу чекового принтера. Та мати з собою папір для можливої заміни. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заміна бумаги.|Заявка закрита|01.02.2019 08:28:57|01.02.2019 08:43:57|01.02.2019 12:43:00|01.02.2019 12:00:06|01.02.2019 12:43:00|
2518|4144|13-45181327|atm repair|SelfServ 6626|м. Краматорськ, вул. Я. Мудрого (19-го Партзїзду), 48г|Краматорськ|Донецька|Краматорське відділення|Диспенсер|Необхідно відновити роботу диспенсера.Необхідна заміна контроллера.Інформація про надання доступа з 10 00, 01.02 отримана від Лепи С. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Извлечение застрявших банкнот в присутствии сотрудника отделения и передача ему. Замена контроллера пик-модуля. Тестирование. АТМ не обучен на банкноты - поэтому и постоянные застревания банкнот. АТМ поднят и готов к загрузке. ТРЕБУЕТСЯ ОБЯЗАТЕЛЬНОЕ ПЕРЕОБУЧЕНИЕ АТМ НА БАНКНОТЫ.|Заявка закрита|01.02.2019 08:50:57|01.02.2019 10:00:00|04.02.2019 13:00:00|01.02.2019 11:15:04|04.02.2019 13:00:00|
2519|4249|13-45179884|flm|SelfServ 6626|м. Хуст, вул. Карпатської Січі, 26|Хуст|Закарпатська|ЗП-магазин Second Hand|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.ACCESS..  Відсутній доступ. Ключ необхідно брати у Світлани Логінової (067) 4953386|Из чекового принтера извлек застрявшую бумагу. Очистил датчики чекового принтера от пыли, сбросил ошибку по чековому принтеру - чековый принтер заработал. Принтер работает, но работает плохо, застряет каждый 10 чек. Чековый принтер лучше заменить.|Заявка закрита|01.02.2019 09:47:59|01.02.2019 10:02:59|01.02.2019 18:02:00|01.02.2019 11:10:16||
2520|4223|13-45179905|flm|SelfServ 6626|м. Івано-Франківськ, вул. Мазепи, 114|Івано-Франківськ|Івано-Франківська|ЗП-Центральна міська клінічна лікарня|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявка дана повторно.|Заявка відхилена|01.02.2019 09:49:37|01.02.2019 10:04:37||||
2521|4249|13-45179884|atm repair|SelfServ 6626|м. Хуст, вул. Карпатської Січі, 26|Хуст|Закарпатська|ЗП-магазин Second Hand|Принтер чековий|Небхідно виконати заміну чеоковго принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Виконано заміну чекового принтеру. Помилки скинуто. АТМ в роботі. Тест друку проходить успішно. ПЦ повідомив.|Заявка закрита|01.02.2019 11:38:40|01.02.2019 11:53:40|04.02.2019 14:53:00|04.02.2019 14:00:13|04.02.2019 14:53:00|
2522|9961|13-41354245|flm|NCR PersonaS 77|м. Кам'янське, пр. Свободи, 3 (3-й АТМ)|Кам'янське|Дніпропетровська|ЗП-ТОВ Дніпровський металургійний комбінат|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|01.02.2019 12:12:32|01.02.2019 12:27:33|04.02.2019 11:27:00||04.02.2019 11:27:00|
2523|4633|13-45179904|atm repair|SelfServ 6626|м. Київ, вул. Хрещатик, 8|Київ|Київська|Печерське відділення|Шатер|Повторно!!!Необхідно відновити роботу шатера. M-Status=13/14. При потребі виконати заміну. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820. Помилка повторюється заявки подавалияс 29.01.2019, 30.01.2019|Произвел замену шаттера. Тестирование в цикле 70 повторений. Ошибок не появилось.|Заявка закрита|01.02.2019 13:44:04|01.02.2019 13:59:04|04.02.2019 12:59:00|04.02.2019 11:40:56|04.02.2019 12:59:00|
2524|4130|13-45179873|atm repair|SelfServ 6626|м. Харків, вул. Отакара Яроша, 26|Харків|Харківська|Павлівське відділення|Диспенсер|Повторно. Необхідно відновити роботу диспенсера: виконати заміну шатера, постійна помилка  M-Status=13. Логи у вкладені. Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Выполнена замена шаттера, замена втулок первого и второго пикера, тестирование на выдачу.|Заявка закрита|01.02.2019 17:02:08|01.02.2019 17:17:08|04.02.2019 16:17:00|04.02.2019 13:00:55|04.02.2019 16:17:00|
2525|9821|13-41353561|flm|NCR PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|ЗП-Одеське училище|Системний блок|Необхідно перевірити роботу АТМ. Отримано інформацію від банку: АТМ сильно шумит и трещит.|Ложный вызов. АТМ в рабочем состоянии, посторонних шумов и треска нет. Тест картридера и диспенсера проходит. АТМ заблокирован на выдачу на ПЦ.|Заявка закрита|01.02.2019 17:07:34|01.02.2019 17:22:34|02.02.2019 09:22:00|02.02.2019 15:15:42|02.02.2019 09:22:00|
2526|4099|13-45179965|flm|SelfServ 6626|м. Харків, пр. Гагаріна, 244|Харків|Харківська|Основянське відділення|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили (работники банка).|Заявка відхилена|01.02.2019 17:25:56|01.02.2019 17:40:56|04.02.2019 09:40:00||04.02.2019 09:40:00|
2527|4064|13-45181326|atm repair|SelfServ 6626|м. Коломия, вул. Січових Стрільців, 41/1|Коломия|Івано-Франківська|Коломийське відділення|Диспенсер|Необхідно відновити роботу диспенсера. M-Status=12, 10. Логи у вкладені. Доступ до АТМ по прибутті. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|вилучена порвана банкнота, скидання помилок|Заявка закрита|01.02.2019 18:34:07|04.02.2019 09:00:00|05.02.2019 12:00:00|04.02.2019 14:00:30|05.02.2019 12:00:00|
2528|9806|13-41353554|flm|NCR PersonaS 77|м. Новогродівка, вул. 40 років Жовтня, 46|Новогродівка|Донецька|ЗП-Магазин Росія|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|По прибытию обнаружено АТМ перемещён в другое место. Перезагрузка АТМ и коммуникационного оборудования по питанию. Установка антенны роутера ближе к окну. АТМ в сервисе.|Заявка закрита|01.02.2019 18:48:07|04.02.2019 09:00:00|04.02.2019 17:00:00|04.02.2019 10:20:05|04.02.2019 17:00:00|
2529|9898|13-41353867|flm|NCR PersonaS 77|м. Краматорськ, вул. Ордженикидзе, 5 (1-й АТМ)|Краматорськ|Донецька|ЗП-ПАТ НКМЗ|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Заявку отменили. АТМ заработал.|Заявка відхилена|01.02.2019 19:13:28|04.02.2019 09:00:00|||04.02.2019 17:00:00|
2530|4076|13-45179801|flm|SelfServ 6626|с. Дунаївці, вул. Шевченка, 51|Дунаївці|Хмельницька|Дунаєвецьке відділення|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замінено папір чекового принтера.|Заявка закрита|02.02.2019 08:58:44|04.02.2019 09:00:00|04.02.2019 17:00:00|04.02.2019 13:15:33|04.02.2019 17:00:00|
2531|4183|13-45179894|flm|SelfServ 6626|м. Черкаси, б. Шевченка, 398|Черкаси|Черкаська|ЗП-Магазин Обнова|Монітор користувацький|Необхідно перевірити роботу монітора. Надійшла заявка з банку: не работает монитор или банкомат выключен. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Монитор и АТМ в рабочем состоянии. Выполнил пробную транзакцию, отзвонился координаторам реноме.|Заявка закрита|03.02.2019 09:00:32|04.02.2019 09:00:00|04.02.2019 13:00:00|04.02.2019 10:55:48|04.02.2019 13:00:00|
2532|4640|13-45179878|flm|SelfServ 6626|м. Київ, вул. Фанерна, 1|Київ|Київська|ЗАТ ФАНПЛИТ|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|03.02.2019 09:38:36|04.02.2019 09:00:00|04.02.2019 13:00:00|||
2533|4575|13-46071658|flm|SelfServ 6622|м. Київ, вул. Велика Кільцева, 56|Київ|Київська|ВІДІ Автострада|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Перезагрузка коммуникационного оборудования.|Заявка закрита|03.02.2019 10:24:29|04.02.2019 09:00:00|04.02.2019 13:00:00|04.02.2019 12:20:23|04.02.2019 13:00:00|
2534|4369|13-45179952|flm|SelfServ 6626|м. Кривий Ріг, вул. Ракітіна (Ногіна), 13|Кривий Ріг|Дніпропетровська|Меблевий маг. Кароліна|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=17. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка прийнята в роботу|03.02.2019 15:07:38|03.02.2019 15:22:39|04.02.2019 14:22:00|||
