№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
1|2295|13-41376404|м. Київ, вул. Мечникова, 2 (27 пов.)|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Парус (ІстВан)|1
2|2832|13-41376421|м. Дніпро, вул. Варварівська, 28|Дніпро|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 097 667 10 00 менеджер ЗП Ольга|Дніпропетровська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Хлібозавод № 10|0
3|2833|13-41376418|м. Київ, вул. Велика Житомирська, 2А (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Готель Інтерконтиненталь (1-й пов)|1
4|2836|13-41376425|м. Черкаси, вул. Шевченка, 183|Черкаси|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 063 428 09 50 зав. каси Світлана Анатоліївна,  091 114 31 16  Бойко Сергей Александрович|Черкаська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Укртелеком|1
5|2844|13-41375369|м. Курахово, вул. Промзона, 69/15|Курахово|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|Пумб|PRINTEC 8|PRINTEC 12|ТОВ Свято-Іллінський машинобудівний завод|1
6|2850|13-41378295|м. Черкаси, вул. Смілянска, 46|Черкаси|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 248 55 36 - менеджер ЗП Ковальова Юлія|Черкаська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ТОВ КЦУ|0
7|2851|13-41376431|м. Українськ, вул. Жовтнева, 1 (1-й АТМ)|Українськ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Шахта Україна|0
8|3338|5300564388|м. Київ, вул. Електротехнічна, 16|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект 067 248 55 36 менеджер ЗП Ковальова Юлія|Київська|13.10.2016|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|КиївВодоканал|0
9|3339|5300564360|м. Київ, вул. Тараса Шевченка, 18|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська|14.11.2016|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Укртелеком|0
10|3459|5300493030|м. Одеса, вул. Черняховського, 4 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|093 950 75 88 зав. каси Валентина|Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №6|1
11|3460|5300493548|м. Київ, вул. Кільцева дорога, 1Б|Київ|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект 067 230 15 70 директор відділення Лариса Воложимирівна, 067 620 20 96|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|0
12|3476|5300493533|м. Вугледар, вул. Трифонова, 8А (2-й АТМ)|Вугледар|FLM-5;SLM-5 ACCESS.. Відсутні ключі від СЧ.||ALFA|ProCash 2100|WINCOR||Донецька|||0|0|1|Пумб|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Вугледарське|1
13|3477|5300493539|м. Дніпро, вул. Ливарна, 15|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №10|1
14|3478|5300493600|м. Дніпро, пр. Дмитра Яворницького, 66 (1-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 777 67 62  Надія|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №8|0
15|3479|5300493044|м. Маріуполь, пр. Миру, 87А (2-й АТМ)|Маріуполь|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|096 232 36 45 зав.  каси Ірина|Донецька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Маріупольське|1
16|3485|5300492931|м. Харків, пр. Гагаріна, 244 (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 786 66 67 Олена, 067 248 59 53 Астапова Оксана Олегівна, 066 711 17 90 Світлана|Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №27|0
17|3486|5300492883|м. Кропивницький, вул. Дворцова, 46А (2-й АТМ)|Кропивницький|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|096 285 48 37 зав. каси Лілія Михайлівна|Кіровоградська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Кропивницьке|1
18|3487|5300492998|м. Слов'янськ, вул. Свободи, 31 (1-й АТМ)|Слов'янськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Слов'янське №1|1
19|3488|5300492954|м. Харків, вул. Академіка Павлова, 165В (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 248 63 37 директор відділеня Ольга Сергіївна, 099 700 85 45 зав. кси Валентина|Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №2|1
20|3490|5300493474|м. Одеса, вул. Прохорівська, 40 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №7|0
21|3492|5300493288|м. Красилів, вул. Центральна, 43 (1-й АТМ)|Красилів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Хмельницька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Красилівське|0
22|3493|5300492710|м. Чернігів, пр. Перемоги, 62 (2-й АТМ)|Чернігів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|066 20 68 494 зав. Каси Катерина, 093 354 84 08|Чернігівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернігівське|0
23|3498|5300513726|м. Київ, вул. Кирилівська, 127 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 248 59 02 директор відділення Пустовойт Ольга Олександрівна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Кирилівське|1
24|3754|13-41841789|м. Львів, вул. Городоцька, 226Б|Львів|FLM-5;SLM-5 Можемо зайти на диск С, але не можу скинути або скачати файл. Екран опитується.||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 340 88 48 менеджер ЗП, 067 617 60 04|Львівська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ПАТ Київстар|1
25|3770|5300551996|м. Черкаси, вул. Громова, 142|Черкаси|FLM-5;SLM-5 ПН-ЧТ працюють до 17:00, ПТ до 16:00||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Черкаська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ВАТ Черкасигаз|0
26|3876|5300379961|м. Вінниця, вул. Привокзальна, 2/1 (2-й АТМ)|Вінниця|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|097 340 29 44 Оксана|Вінницька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Вінницьке|1
27|3878|5300380049|м. Житомир, вул. Перемоги, 7А (2-й АТМ)|Житомир|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Житомирська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Житомирське|1
28|4001|13-45179919|м. Київ, вул. Ділова, 3 (2-й АТМ)|Київ|FLM-5;SLM-5 Можемо зайти на диск С, але не можу скинути або скачати файл. Екран опитується.||ALFA|SelfServ 6626|NCR||Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Головний офіс Альфи|1
29|4002|5300232589|м. Київ, вул. Саксаганського, 14 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське № 44|1
30|4005|5300184389|м. Фастів, вул. Соборна, 10 (2-й АТМ)|Фастів|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Київська||0|0|0|1|УСБ СР|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Фастівське|1
31|4006|5101221528|м. Дніпро, вул. Мечнікова, 11 (3-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №9|1
