Id заявки|Id банкомата|SN банкомата|Тип|Модель|Адреса|Місто|Область|Розташування|Локалізація|Опис заявки|Звіт|Стан заявки|Час створення|Час доступа|Плановий час|Фактичний час|
2810|9932|13-41353873|flm|PersonaS 77|м. Київ, Венеціанський острів, 1|Київ|Київська|Баккара-Плюс|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Установка нового рулона бумаги чекового принтера. Тестирование. Тестовая транзакция с выдачей чека.|Заявка закрита|01.03.2019 08:10:31|01.03.2019 09:00:00|01.03.2019 13:00:00|01.03.2019 12:45:47|01.03.2019 13:00:00|
2811|3754|13-41841789|atm repair|PersonaS 77|м. Львів, вул. Городоцька, 226Б|Львів|Львівська|ПАТ Київстар|Кардрідер|Необхідно провести ремонт кардрідера.Згідно попереднього звіту інженера:необхідно зробити ремонт картрідера з заміною комплектуючих запчастин.  Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Проведено ремонт картрідера замінено направляючі ролики та пасок двигуна. АТМ протестовано на зняття готівки. Реноме проінформовано по телефону.|Заявка закрита|01.03.2019 08:28:29|01.03.2019 09:00:00|01.03.2019 17:00:00|01.03.2019 13:30:25|01.03.2019 17:00:00|
2812|4204|13-45179870|atm repair|SelfServ 6626|м. Ужгород, вул. Минайська, 29А|Ужгород|Закарпатська|Магазин  Євро сезони|Диспенсер|Необхідно відновити роботу диспенсера, необхідна заміна ременів диспенсера.  Банкомат розвантажений. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Установили полностью реставрированный диспенсер на банкомат. Дождались инкассаторов, заинкассировали банкомат, повторно обучили банкомат на купюры. Итог-банкомат в работе. В Реноме отзвонились.|Заявка закрита|01.03.2019 09:58:49|01.03.2019 10:13:49|04.03.2019 09:13:00|04.03.2019 13:00:40|04.03.2019 09:13:00|
2813|4596|13-45179885|flm|SelfServ 6626|м. Фастів, вул. Соборна, 36|Фастів|Київська|Аптека|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|АТМ заработал|Заявка відхилена|01.03.2019 10:37:16|01.03.2019 10:52:16|01.03.2019 18:52:00|||
2814|4289|13-48383557|flm|SelfServ 6626|м. Чернівці, вул. Незалежності, 89|Чернівці|Чернівецька|Магазин Колос|Принтер чековий|Необхідно перевірити роботу чекового принтера. Поточний стан: пристрій несправний. M-Status=16. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Очищены сенсоры, проведены тесты чекового принтера. Банкомат работает.|Заявка закрита|01.03.2019 13:11:41|01.03.2019 13:26:41|01.03.2019 17:26:00|01.03.2019 15:15:58||
2815|4593|13-45179869|flm|SelfServ 6626|м. Київ, пр. Маяковського, 10|Київ|Київська|НАСК Оранта|Принтер чековий|Необхідна заміна паперу чекового принтера.Отримано інформацію від служби інкасації: папір закінчився. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги.|Заявка закрита|01.03.2019 13:16:47|01.03.2019 13:31:48|01.03.2019 17:31:00|04.03.2019 12:30:54|01.03.2019 17:31:00|
2816|9886|13-41353556|flm|PersonaS 77|м. Гірське, вул. Куйбишева, 21|Гірське|Луганська|Шахта Гірська|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги, отзвонился на мониторинг 0673641820.|Заявка закрита|01.03.2019 15:05:57|01.03.2019 15:20:57|02.03.2019 11:20:00|02.03.2019 10:50:28|02.03.2019 11:20:00|
2817|9952|13-41376435|flm|PersonaS 77|м. Чернігів, пр. Перемоги, 62 (2-й АТМ)|Чернігів|Чернігівська|Відділення Чернігівське|Принтер чековий|Необхідна заміна паперу чекового принтера. Про результат виконання робіт необхідно звітуватися за номером 0673641820.|Замена бумаги, тестирование.|Заявка закрита|01.03.2019 16:10:21|01.03.2019 16:25:21|02.03.2019 08:25:00|02.03.2019 09:10:47|02.03.2019 08:25:00|
2818|9996|13-41376394|flm|PersonaS 77|с. Нижнє Солотвино, 226|Нижнє Солотвино|Закарпатська|ТЗОВ Термал-Стар|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка відхилена|01.03.2019 19:17:26|04.03.2019 09:00:26|04.03.2019 17:00:00||04.03.2019 17:00:26|
2819|9821|13-41353561|flm|PersonaS 77|м. Одеса, вул. Дворянська, 32|Одеса|Одеська|Одеське училище|Комунікаційне обладнання|Необхідно перевірити мережеве обладнання, зв'язок відсутній. Про результат виконання робіт необхідно звітуватися за номером 0673641820.||Заявка відхилена|01.03.2019 19:26:16|04.03.2019 09:00:17|04.03.2019 13:00:00||04.03.2019 13:00:17|
